"","ID","subfield","treatment","training","PC1","PC2","Prkcz","Prkci","Wwc1","Grin1","Gria1","Pick1","Nsf","Fmr1","Camk2a","Fos","Fosl2","Npas4","Arc"
"1","15143A","DG","conflict.trained","trained",-0.227503872529299,3.03543737772736,9.05223801984851,7.71933846031816,8.30109879513479,10.6806643969314,11.529052201921,7.53050383493001,11.4957344018109,8.02773184616767,13.214959012104,11.2731042520546,10.0470635559793,11.7070776350969,11.2482437427953
"2","15143B","DG","conflict.yoked","yoked",-3.14366274031751,-0.488342908007758,8.92278223819976,7.54866019261273,8.21544166479438,10.8056229193223,11.4291588637322,7.32750767032294,11.4286254203754,8.20509152897666,12.6332402124687,10.8596842842344,9.27707043006501,9.89566415038628,9.36065817140101
"3","15143D","DG","standard.yoked","yoked",-2.75327194839813,-0.0758480924418908,9.06007761465163,8.00628567364382,8.35048942120682,10.8308261225838,11.6356218760089,7.71772384428973,11.4134823925235,8.200184254047,12.8959004435271,10.440560799353,9.13734064918121,10.0574632647781,9.74055882107666
"4","15144A","DG","conflict.trained","trained",6.7041815320433,-0.0785371854937037,9.00439462640594,7.85225162087965,8.45178467565631,10.6999615130263,11.7500695980864,7.47478127949026,11.6132112968841,8.40165374412176,13.4586234328405,11.5151296501052,11.3748614047546,12.7338724391092,11.4653180449628
"5","15144C","DG","standard.trained","trained",7.0499369186223,-1.78499206484036,8.90300308247889,7.88849798046197,8.41060767959784,10.7368540728736,11.6732490819466,7.27232692162154,11.6280181435766,8.219558597902,13.0140741056343,11.7655828730295,11.0541316229358,12.631029882537,12.1241751552459
"6","15144D","DG","standard.yoked","yoked",-3.30262843896572,1.17314374317798,9.09480053734188,7.73695543425332,8.43854157862019,10.6985729497578,11.755031487608,7.61101836042122,11.7211938209831,8.01214128846951,13.1854005845164,8.21315253693439,8.48947208469862,8.59489917715577,8.46815650266835
"7","15145A","DG","conflict.trained","trained",6.93926898436082,0.258661805731786,8.98853529309965,7.96571645493673,8.29665922363787,10.8565023365922,11.6911765232262,7.26000128506191,11.639242159398,8.0565990540512,12.980025210595,10.3145138169354,9.47143002098833,11.3420224597494,10.184856660901
"8","15145B","DG","conflict.yoked","yoked",-1.31554825039484,1.65006063385895,9.35904180904182,7.90959453890563,8.33249427091684,10.8085656131255,11.6664598816881,7.64850719441366,11.3395465547496,7.90959453890563,13.3661140997971,10.4822413150209,9.22202440491946,10.1928963343884,9.74301541436434
"9","15146A","DG","conflict.trained","trained",6.94306075618733,0.0368477447149329,8.94113995805203,7.55247764413262,8.33391885217513,10.8770824568739,11.7031695530709,7.42118685391122,11.5021752625761,8.25612394271698,13.1430914542203,11.4281101487233,9.97282912611492,11.8662826482748,11.0414187701999
"10","15146B","DG","conflict.yoked","yoked",-1.43973162345974,2.00572330130975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","15146C","DG","standard.trained","trained",4.1176614187888,-1.14256371369996,9.02295672817142,7.69001879292195,8.36937566179868,10.850756919952,11.5666615897498,7.82089920062043,11.351036989244,8.14792120373717,12.4347946618006,11.7351573397787,10.9198603925799,11.9972213696285,11.0050057100375
"12","15146D","DG","standard.yoked","yoked",-1.55055221831252,2.93792498009093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","15147C","DG","standard.trained","trained",5.30428309018512,-0.987544797090164,9.16037439709856,7.93281803477847,8.50972323672646,10.8468949485349,11.4549489672088,7.52036800799719,11.269526701807,8.50565636651074,13.2754215256123,10.9386239448062,10.6585841105394,12.1577118732922,11.1198836695452
"14","15147D","DG","standard.yoked","yoked",-3.08722990779175,4.45313975414287,9.10462328422744,7.84821356668638,8.22910547717933,10.9161673847364,11.6801531955885,7.49030081340234,11.5410118748175,8.15054346700094,13.103283279,8.95933525887674,8.24893632124916,8.94755221693098,8.07213098358465
"15","15148A","DG","conflict.trained","trained",-0.155440703606241,-0.072322842412781,9.0902803964562,7.97403588450555,8.3316443393026,10.755071585622,11.5323179114506,7.36190630245703,11.3872262882262,8.23626129709959,12.9409458721257,10.9922391882147,9.5344004197411,10.1973734443091,10.1967123761121
